# v_mps,ax_max_mps2,ay_max_mps2
0.0,13.62624375723845,6.939987514476901
0.25,13.250534744704495,6.939987514476901
0.5,12.874825732170542,6.939987514476901
0.75,12.499116719636591,6.939987514476901
1.0,12.123407707102636,6.939987514476901
1.25,11.747698694568683,6.939987514476901
1.5,11.371989682034732,6.939987514476901
1.75,10.996280669500779,6.939987514476901
2.0,10.620571656966824,6.939987514476901
2.25,10.244862644432871,6.939987514476901
2.5,9.869153631898918,6.939987514476901
2.75,9.493444619364965,6.939987514476901
3.0,9.117735606831012,6.939987514476901
3.25,8.742026594297059,6.939987514476901
3.5,6.939987514476901,6.939987514476901
3.75,6.9098099403752595,6.9098099403752595
4.0,6.838715186333031,6.838715186333031
4.25,6.818026764328135,6.818026764328135
4.5,6.823629263019651,6.823629263019651
4.75,6.710084933400985,6.710084933400985
5.0,6.663896419167133,6.663896419167133
5.25,6.652576300453912,6.652576300453912
5.5,6.567537422643127,6.567537422643127
5.75,6.5084178047202865,6.5084178047202865
6.0,6.586440519724863,6.586440519724863
6.25,6.494622335916774,6.494622335916774
6.5,6.556951145667662,6.556951145667662
6.75,6.437804862005711,6.437804862005711
7.0,6.4891414510205685,6.4891414510205685
7.25,6.4891414510205685,6.4891414510205685
7.5,6.4891414510205685,6.4891414510205685
7.75,6.4891414510205685,6.4891414510205685
8.0,6.4891414510205685,6.4891414510205685
8.25,6.4891414510205685,6.4891414510205685
8.5,6.4891414510205685,6.4891414510205685
8.75,6.4891414510205685,6.4891414510205685
9.0,6.4891414510205685,6.4891414510205685
9.25,6.4891414510205685,6.4891414510205685
9.5,6.4891414510205685,6.4891414510205685
9.75,6.4891414510205685,6.4891414510205685
10.0,6.4891414510205685,6.4891414510205685
10.25,6.4891414510205685,6.4891414510205685
10.5,6.4891414510205685,6.4891414510205685
10.75,6.4891414510205685,6.4891414510205685
11.0,6.4891414510205685,6.4891414510205685
11.25,6.4891414510205685,6.4891414510205685
11.5,6.4891414510205685,6.4891414510205685
11.75,6.4891414510205685,6.4891414510205685
12.0,6.4891414510205685,6.4891414510205685
12.25,6.4891414510205685,6.4891414510205685
12.5,6.4891414510205685,6.4891414510205685
12.75,6.4891414510205685,6.4891414510205685
13.0,6.4891414510205685,6.4891414510205685
13.25,6.4891414510205685,6.4891414510205685
13.5,6.4891414510205685,6.4891414510205685
13.75,6.4891414510205685,6.4891414510205685
14.0,6.4891414510205685,6.4891414510205685
14.25,6.4891414510205685,6.4891414510205685
14.5,6.4891414510205685,6.4891414510205685
14.75,6.4891414510205685,6.4891414510205685
15.0,6.4891414510205685,6.4891414510205685
