# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.4107271211582439, -0.0608933713017566, 1.1, 1.1
0.8215009710665578, -0.12147499627094661, 1.1, 1.1
1.2323195577355865, -0.18175890183253227, 1.1, 1.1
1.6431806401773177, -0.24175894891238137, 1.1, 1.1
2.054082060403293, -0.30148916443547213, 1.1, 1.1
2.4650216604250637, -0.36096332632810124, 1.1, 1.1
2.8759972822541635, -0.4201954615152628, 1.1, 1.1
3.2870067679021355, -0.4791994309228088, 1.1, 1.1
3.69804795938053, -0.5379890954765911, 1.1, 1.1
4.109118698700873, -0.596578565101143, 1.1, 1.1
4.520216827874723, -0.6549815347232221, 1.1, 1.1
4.93134027191317, -0.7132121142673616, 1.1, 1.1
5.342486706828654, -0.7712840816598743, 1.1, 1.1
5.753654057632256, -0.8292114638257064, 1.1, 1.1
6.164840166335535, -0.8870081216907577, 1.1, 1.1
6.576042957949574, -0.9446879161808641, 1.1, 1.1
6.987260108486819, -1.0022648742210039, 1.1, 1.1
7.398489542958368, -1.0597528567370447, 1.1, 1.1
7.809729103375747, -1.1171657246548545, 1.1, 1.1
8.220976714750064, -1.1745173389002852, 1.1, 1.1
8.632231049088425, -1.2318157504302811, 1.1, 1.1
9.04349185739216, -1.2890639472288592, 1.1, 1.1
9.454758724663483, -1.3462645852818156, 1.1, 1.1
9.866031401903731, -1.4034204035744862, 1.1, 1.1
10.27730955711468, -1.460533975093128, 1.1, 1.1
10.688592941297669, -1.5176080388230926, 1.1, 1.1
11.099881139454896, -1.5746452507501445, 1.1, 1.1
11.511173902587718, -1.6316482668601118, 1.1, 1.1
11.922470898697892, -1.688619743138775, 1.1, 1.1
12.333771795787206, -1.745562418571486, 1.1, 1.1
12.745076344856978, -1.8024790321435955, 1.1, 1.1
13.156384130909448, -1.8593720738417745, 1.1, 1.1
13.567694904945927, -1.9162443656509451, 1.1, 1.1
13.979008334968203, -1.9730985635568878, 1.1, 1.1
14.390324171977609, -2.029937240545844, 1.1, 1.1
14.801642000976356, -2.086763218602736, 1.1, 1.1
15.212961572965783, -2.1435790707137734, 1.1, 1.1
15.624282555947664, -2.2003874528647684, 1.1, 1.1
16.035604700923326, -2.257191187040628, 1.1, 1.1
16.446927509895442, -2.313992763228038, 1.1, 1.1
16.85825089986444, -2.3707950034118728, 1.1, 1.1
17.269574372833, -2.427600480578422, 1.1, 1.1
17.680897762802, -2.4844119337129893, 1.1, 1.1
18.092220654773676, -2.5412320188013866, 1.1, 1.1
18.50354271674978, -2.598063391829427, 1.1, 1.1
18.914863782731217, -2.654908791782429, 1.1, 1.1
19.326183354720644, -2.7117706256475245, 1.1, 1.1
19.737501515717618, -2.768649474421615, 1.1, 1.1
20.14881826572214, -2.8255449231069245, 1.1, 1.1
20.560133521734645, -2.8824563077069967, 1.1, 1.1
20.97144744975426, -2.9393833792231656, 1.1, 1.1
21.38275996678142, -2.9963255566585456, 1.1, 1.1
21.794071155815676, -3.0532822590162185, 1.1, 1.1
22.205381016857046, -3.110253237297551, 1.1, 1.1
22.616689549905523, -3.16723782750607, 1.1, 1.1
23.027996920960202, -3.224235614644, 1.1, 1.1
23.43930296402199, -3.2812461007140095, 1.1, 1.1
23.850607762090434, -3.3382688707183235, 1.1, 1.1
24.2619113981651, -3.3953034266595945, 1.1, 1.1
24.673213955245533, -3.452349187540938, 1.1, 1.1
25.084515267332623, -3.5094058213641155, 1.1, 1.1
25.49581550042548, -3.5664727471322584, 1.1, 1.1
25.90711465452412, -3.6235494668480035, 1.1, 1.1
26.318412729628527, -3.680635648513146, 1.1, 1.1
26.7297097257387, -3.737730711130784, 1.1, 1.1
27.14100580885377, -3.7948341567035873, 1.1, 1.1
27.55230081297459, -3.8519455702337635, 1.1, 1.1
27.9635949041003, -3.909064370724443, 1.1, 1.1
28.374888082230907, -3.9661902261773894, 1.1, 1.1
28.78618026436682, -4.0233225555956995, 1.1, 1.1
29.197471616507197, -4.0804609439816, 1.1, 1.1
29.60876213865199, -4.137604810338202, 1.1, 1.1
30.020051747801677, -4.194753822667288, 1.1, 1.1
30.43134060995537, -4.251907399971953, 1.1, 1.1
